patient_id,nhs_number,local_patient_id,date_of_birth,gender_code,ethnicity_code,postcode
34,2778290627,LOC3617Td,1953-07-24,,Z,CW85 3SJ
35,0778134755,LOC6151Kw,1992-07-02,1,C,N0B 2ZD
36,4671490567,LOC6527Sm,1925-03-27,9,B,HX31 8ZF
37,4204003832,LOC4219OH,1965-07-21,2,A,W04 7TB
38,3512074665,LOC2837AA,1988-12-08,9,B,HA9W 9JP
39,0719296682,LOC1228Eb,1983-08-11,1,D,HR27 1AP
40,3856247739,LOC2475GQ,1919-03-24,1,D,SY94 7PU
41,6750056623,LOC0319Eh,1939-08-14,2,Z,TD06 8XU
42,0493990331,LOC4726uC,1934-01-26,2,C,S5A 4PA
43,8644545214,LOC8814vi,1941-06-15,9,C,DA1 0EN
44,9965665501,LOC9020lA,1919-12-12,1,B,FK3V 3LD
45,7641609651,LOC5115pa,1936-02-19,,C,S4 4NS
46,3267498666,LOC7051nt,2002-07-23,9,C,W2H 9HG
47,9730202834,LOC7772wZ,1977-06-06,9,Z,CV8E 7WT
48,9919853207,LOC7048ty,2000-03-16,2,D,L7B 1NG
49,6479887448,LOC9847vj,1950-02-06,9,B,ME98 3DG
50,5095824652,LOC9655og,1988-07-22,2,D,WC9P 9PP
51,9621154547,LOC9855Kn,1939-04-26,1,C,
52,7987621614,LOC4151Eb,1943-11-04,1,C,N8K 4RQ
53,7123623682,LOC0055ZT,1923-02-08,2,C,DN6N 3UY
54,2642535770,LOC4597Si,1925-03-12,2,C,WR6 6PA
55,0728314593,LOC0577GI,1953-06-05,1,A,B67 4HG
56,7545126494,LOC4436zf,1945-03-01,2,B,HA7M 2YD
57,0419202509,LOC9146Xi,1964-05-02,2,B,SE2 8HF
58,1875004970,LOC0793eP,1987-01-16,1,C,L9J 5UN
59,4990298929,LOC6741RM,1982-08-15,1,B,W2 0SW
60,6199328149,LOC1429CW,1945-01-23,9,C,G4U 6JL
61,9847435858,LOC3048cA,1922-11-08,1,D,B86 2XX
62,0099470410,LOC1063Dw,1990-05-14,1,B,N3 8NU
63,1978230259,LOC8280uW,1959-07-08,9,C,
64,8870632514,LOC2824Ky,1926-01-17,1,C,
65,4616268302,LOC4550rH,1982-01-20,1,A,CV14 4UZ
66,0335554967,LOC9964im,1994-07-17,1,A,CF3 1WF
67,5271862651,LOC5735Tz,1947-07-31,9,Z,DL0 8PN
68,5551340148,LOC0802bi,1957-08-02,1,A,G49 3DR
69,8101646957,LOC5520tS,1992-02-11,2,C,E3D 8BW
70,2955784485,LOC6809Tb,1984-08-08,9,D,GY23 0HB
71,4517464998,LOC0486Kd,1984-03-08,1,Z,E17 6FQ
72,0059546981,LOC9464pJ,1996-03-17,2,B,E1W 3HP
73,2903431333,LOC7495hh,1916-12-21,1,D,G2 8NB
74,1511043709,LOC1811nH,1962-02-08,1,C,E20 5AR
75,4095066263,LOC3798vd,1999-02-21,2,D,SK9 2XX
76,3016617228,LOC8467Sv,1979-10-20,2,Z,B0 5WX
77,5526704190,LOC9716wh,1930-03-09,1,B,LS50 1QT
78,3968009156,LOC4603xa,1958-04-03,9,B,LU04 9JS
79,8945664301,LOC2772WT,1967-12-31,1,C,N7 8QH
80,1078195501,LOC6983do,1991-09-02,1,B,B69 2JP
81,0745554482,LOC9514Gm,1919-03-08,1,A,NW3M 9DZ
82,4084877800,LOC3812KQ,2007-01-26,1,C,WD9N 2NP
83,4411929967,LOC0802ZT,1977-05-11,2,A,CT01 4GY
84,1608493300,LOC4352YE,1979-11-26,2,C,NG10 5EY
85,0998436269,LOC3706xQ,1949-08-03,1,D,FY1P 9HJ
86,4468528327,LOC0904iB,1917-12-15,1,A,S7A 3ZF
87,7749758521,LOC2993Yu,1970-05-06,2,D,SL7N 6BL
88,9324965127,LOC4651dB,1913-03-31,9,A,LA02 8PQ
89,1942021177,LOC3708ke,1981-08-19,9,D,EX2 7GT
90,8378937220,LOC0443qE,1947-03-05,9,B,SW8 3ZB
91,3866218095,LOC4395uj,1968-10-21,2,D,SO1 0NB
92,8529122309,LOC0052Es,1956-12-09,2,B,EN1 0HB
93,3462089510,LOC4801Fz,1919-02-01,1,C,EC2B 9LZ
94,2614292037,LOC8277JK,1966-08-17,2,C,E79 3UP
95,3201709206,LOC3037fF,1961-07-20,9,Z,TW32 7YS
96,0558810581,LOC3954Ic,2002-09-12,1,D,W2A 5WE
97,5259057657,LOC7311tY,1991-04-09,2,C,CT80 0US
98,3636226933,LOC5864sF,1985-02-21,1,B,HA67 9PL
99,5013133689,LOC9044uK,1969-08-14,9,Z,G6J 7QN
100,1299659609,LOC3972bk,1954-09-25,1,A,DN97 2AT
101,0286882745,LOC5661dn,1954-07-09,1,C,L1 3WR
102,2097343143,LOC0066my,1998-10-08,2,C,OX1 7TE
103,6348836110,LOC5137IG,1965-04-03,9,A,N5J 2DE
104,8853807893,LOC9120CA,1962-08-08,2,C,G9 1DR
105,0324494843,LOC4786pI,1931-12-19,9,Z,GL3E 2JE
106,8921261655,LOC2283KW,2006-05-09,2,Z,S7E 9YG
107,3177112600,LOC1840iL,1963-06-01,2,B,SM56 3HB
108,7060825508,LOC6792DT,1946-04-10,1,C,G8 1HE
109,4796523008,LOC7238ea,1938-04-20,2,C,BN0V 9PJ
110,9540607172,LOC4674ic,1942-09-01,2,C,BD9X 4RL
111,0268136508,LOC3772Jo,1964-09-22,1,A,NG1 9TD
112,4381222130,LOC0707se,1969-09-24,1,Z,SP6M 8LL
113,1299403371,LOC6166OM,1946-02-14,9,C,L0W 6ZP
114,9948949824,LOC2274vT,1986-12-05,9,B,HP5 3QE
115,7387526496,LOC2041Mw,1912-03-15,1,C,L78 7ZQ
116,7968278020,LOC8908Ue,1973-09-12,9,Z,N30 1QA
117,2255799709,LOC3895Dp,1932-08-15,9,B,G75 5FW
118,9102850872,LOC3638oJ,2005-01-31,9,Z,RH3 0EU
119,5260487309,LOC8936qe,1952-01-09,9,C,DL6E 9BT
120,6463150059,LOC0776Wn,1973-12-22,9,A,GY3 2UL
121,3029276241,LOC0778NY,1941-11-30,9,D,ME6B 9ED
122,1056815406,LOC8265nz,1945-01-30,2,D,W9K 4JU
123,4150797755,LOC3389vK,1969-06-01,2,B,HP5 2JY
124,9190595896,LOC2486Vu,1969-09-13,9,C,L6G 8QU
125,6359541701,LOC7537ap,1945-01-28,1,B,N1K 8ZP
126,4456120686,LOC7597Ku,1956-10-30,1,Z,S2S 5BH
127,9729753625,LOC8505nf,1931-12-03,1,D,W5G 2FA
128,5755304039,LOC7591bk,1924-11-05,9,A,W2B 5UE
129,9898980615,LOC5880Vt,1932-07-04,2,Z,KA15 8TF
130,7877891713,LOC5536fn,1994-06-24,9,Z,RM37 2NN
131,2911100682,LOC7084WQ,1929-02-26,2,D,TS8 8NF
132,9104596904,LOC6741ov,2007-01-12,1,A,W3 9GH
133,3012963114,LOC0937ZT,1913-08-19,9,B,M2J 5AW
134,3242425328,LOC2137vU,2007-01-31,2,Z,B1G 8RN
135,8744276223,LOC4703CL,1913-09-16,,A,S5A 4NG
136,1020259722,LOC0771Ax,1914-01-28,9,B,GU2E 0DB
137,4708913537,LOC7041kN,1939-10-05,2,B,CH3V 2UL
138,1697140433,LOC3249wI,1987-04-20,1,Z,M4 8LU
139,4507095555,LOC8107TG,1968-01-30,1,D,ME5 2ZD
140,0780851020,LOC3864iV,1931-01-23,2,B,N8H 6DD
141,5864841014,LOC1835NJ,1961-12-06,2,B,DH1R 2LZ
142,0009056765,LOC4918ls,1915-03-11,1,Z,BL77 8YG
143,9393576480,LOC1404jp,1973-07-03,2,C,DL75 1SH
144,4301549493,LOC8375Eu,1969-08-13,2,D,GY5Y 5FT
145,9061251017,LOC6108UT,1996-08-01,9,D,L33 3ZY
146,3004838851,LOC8479za,1999-07-27,2,C,
147,0005543719,LOC9161ES,1961-04-11,2,D,E8 8WB
148,6682254201,LOC7998ua,1948-04-01,1,D,HS66 6GX
149,3028723078,LOC0286PD,2002-08-01,,A,CH8 4QB
150,0789106922,LOC9727Qn,1991-10-06,1,C,GL2H 7NZ
151,7154341561,LOC9340jv,1915-03-25,2,B,LD37 0ZB
152,4239290822,LOC9602Fl,1924-01-02,2,D,PA5R 7YU
153,2971262665,LOC1992RI,1961-02-03,2,A,SK0H 9ZB
154,2716183907,LOC0880cA,1982-10-02,1,C,N69 7ER
155,3148120048,LOC1579YS,1928-07-22,1,A,M11 0RN
156,8121677556,LOC9868vh,1957-11-07,9,Z,EN62 6EL
157,9266901270,LOC8625eF,1961-08-14,2,A,PH6 7ZR
158,2343932971,LOC0384qk,1968-03-21,1,D,CR29 7DH
159,1740563988,LOC9559Yb,2005-04-09,1,A,B4G 0XB
160,0580852686,LOC3259Lr,1955-07-25,9,C,E53 9QA
161,9179238927,LOC9848Iw,1971-10-31,1,B,N91 3SJ
162,8156727730,LOC6808ML,1995-12-24,2,Z,B30 8XG
163,0861629759,LOC8345dd,1934-01-14,1,B,
164,7558066610,LOC5251aQ,1956-07-21,1,C,B6 4TZ
165,2740256302,LOC0495gJ,1913-12-02,9,C,E27 9PD
166,5251042531,LOC4320Qv,1980-05-06,9,Z,S69 4LA
167,9482810397,LOC8264Db,2000-06-24,1,D,SN2Y 5YU
168,2303597627,LOC4871BI,1984-05-29,1,B,HG7Y 1HN
169,7166600251,LOC8243Ho,1919-08-18,9,A,CT8P 6PY
170,9611156809,LOC4757zc,1940-06-24,2,D,N00 1JT
171,4171277353,LOC1071qN,1926-11-24,9,D,PH0 9EW
172,7584292425,LOC1949uP,1984-12-30,2,C,
173,4721601445,LOC8393IT,1915-04-06,1,B,S9 0RP
174,0085836918,LOC9262Kz,1911-08-23,1,D,CR0R 9SB
175,2784460210,LOC3430er,1962-02-18,9,A,E2E 5UB
176,0479641753,LOC9609Od,1966-03-23,9,A,HS0E 1SR
177,0024541886,LOC4517dY,1989-09-10,9,A,N9W 9NH
178,8466247438,LOC6848qL,1920-06-05,1,A,WN2X 2DS
179,0240684256,LOC9758Qm,1954-09-08,2,A,BS8Y 5EH
180,1621948010,LOC2298Bp,1988-06-15,9,A,NE68 1RA
181,2411841592,LOC0249EH,1932-12-21,2,C,DN6H 7NY
182,1743639299,LOC5437qM,2008-06-13,9,C,S5J 5ST
183,3475561004,LOC3777ea,2003-01-20,2,B,WR37 6FA
184,8024433736,LOC8929gZ,1989-08-26,9,A,OX72 1LN
185,4514052169,LOC6337jq,1929-10-30,9,B,
186,1064493958,LOC8572hi,1931-12-16,2,C,L44 7FT
187,6032212901,LOC8530aG,1987-07-13,9,A,IM02 2XJ
188,0445609028,LOC7185UD,2006-10-25,2,C,M2S 1NZ
189,6686909671,LOC4483nK,1957-06-19,2,Z,MK12 7XG
190,1267865036,LOC5254Ho,2006-01-07,1,D,OL62 1DZ
191,9735401715,LOC0736rJ,1969-01-24,1,B,M2 9NY
192,9189191216,LOC0125KX,1991-06-06,2,A,SO6X 5HD
193,4410426318,LOC1537xd,1972-06-13,2,A,PO1H 9QY
194,7396949336,LOC1017ei,1918-02-02,1,B,LL8B 2TJ
195,5974355344,LOC4453Zi,1970-11-17,9,C,SN4 7PS
196,4106319587,LOC5129aO,1969-09-10,2,B,M4C 0PW
197,5728750044,LOC1557TK,1971-11-01,1,C,W9 1TN
198,4137274507,LOC2315co,1958-04-25,1,C,
199,8111132875,LOC6671Lq,1923-07-02,1,D,WC7V 6AZ
200,8628758707,LOC2309MC,1918-05-02,1,A,SE4 4EH
